ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-09T01:25:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:30:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:35:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:40:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:45:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:50:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:55:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:00:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:05:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:10:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:15:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:20:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:25:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:30:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:35:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:40:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:45:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:50:00+04:00 Dubai,23.824047088623047°C
2023-03-09T02:55:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:00:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:05:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:10:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:15:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:20:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:25:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:30:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:35:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:40:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:45:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:50:00+04:00 Dubai,23.824047088623047°C
2023-03-09T03:55:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:00:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:05:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:10:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:15:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:20:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:25:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:30:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:35:00+04:00 Dubai,23.824047088623047°C
2023-03-09T04:40:00+04:00 Dubai,23.67473793029785°C
2023-03-09T04:45:00+04:00 Dubai,23.67473793029785°C
2023-03-09T04:50:00+04:00 Dubai,23.67473793029785°C
2023-03-09T04:55:00+04:00 Dubai,23.67473793029785°C
2023-03-09T05:00:00+04:00 Dubai,23.67473793029785°C
2023-03-09T05:05:00+04:00 Dubai,23.67473793029785°C
2023-03-09T05:10:00+04:00 Dubai,23.67473793029785°C
2023-03-09T05:15:00+04:00 Dubai,23.67473793029785°C
2023-03-09T05:20:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:25:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:30:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:35:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:40:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:45:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:50:00+04:00 Dubai,23.82361602783203°C
2023-03-09T05:55:00+04:00 Dubai,23.972549438476562°C
2023-03-09T06:00:00+04:00 Dubai,23.972549438476562°C
2023-03-09T06:05:00+04:00 Dubai,23.972549438476562°C
2023-03-09T06:10:00+04:00 Dubai,23.972549438476562°C
2023-03-09T06:15:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:20:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:25:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:30:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:35:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:40:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:45:00+04:00 Dubai,23.82345199584961°C
2023-03-09T06:50:00+04:00 Dubai,23.67344856262207°C
2023-03-09T06:55:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:00:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:05:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:10:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:15:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:20:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:25:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:30:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:35:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:40:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:45:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:50:00+04:00 Dubai,23.67344856262207°C
2023-03-09T07:55:00+04:00 Dubai,23.67344856262207°C
2023-03-09T08:00:00+04:00 Dubai,23.67344856262207°C
2023-03-09T08:05:00+04:00 Dubai,23.67344856262207°C
2023-03-09T08:10:00+04:00 Dubai,23.67344856262207°C
2023-03-09T08:15:00+04:00 Dubai,23.82286262512207°C
2023-03-09T08:20:00+04:00 Dubai,23.82286262512207°C
2023-03-09T08:25:00+04:00 Dubai,23.82286262512207°C
2023-03-09T08:30:00+04:00 Dubai,23.82286262512207°C
2023-03-09T08:35:00+04:00 Dubai,23.97266960144043°C
2023-03-09T08:40:00+04:00 Dubai,23.97266960144043°C
2023-03-09T08:45:00+04:00 Dubai,23.97266960144043°C
